400 4 5
0.142857 0.666667 0.750000 1.000000 
0.142857 0.666667 1.000000 0.000000 
0.142857 0.666667 1.000000 0.250000 
0.142857 0.666667 1.000000 0.500000 
0.142857 0.666667 1.000000 0.750000 
0.142857 0.666667 1.000000 1.000000 
0.142857 1.000000 0.000000 0.000000 
0.142857 1.000000 0.000000 0.250000 
0.142857 1.000000 0.000000 0.500000 
0.142857 1.000000 0.000000 0.750000 
0.142857 1.000000 0.000000 1.000000 
0.142857 1.000000 0.250000 0.000000 
0.142857 1.000000 0.250000 0.250000 
0.142857 1.000000 0.250000 0.500000 
0.142857 1.000000 0.250000 0.750000 
0.142857 1.000000 0.250000 1.000000 
0.142857 1.000000 0.500000 0.000000 
0.142857 1.000000 0.500000 0.250000 
0.142857 1.000000 0.500000 0.500000 
0.142857 1.000000 0.500000 0.750000 
0.142857 1.000000 0.500000 1.000000 
0.142857 1.000000 0.750000 0.000000 
0.142857 1.000000 0.750000 0.250000 
0.142857 1.000000 0.750000 0.500000 
0.142857 1.000000 0.750000 0.750000 
0.142857 1.000000 0.750000 1.000000 
0.142857 1.000000 1.000000 0.000000 
0.142857 1.000000 1.000000 0.250000 
0.142857 1.000000 1.000000 0.500000 
0.142857 1.000000 1.000000 0.750000 
0.142857 1.000000 1.000000 1.000000 
0.428571 0.000000 0.000000 0.000000 
0.428571 0.000000 0.000000 0.250000 
0.428571 0.000000 0.000000 0.500000 
0.428571 0.000000 0.000000 0.750000 
0.428571 0.000000 0.000000 1.000000 
0.428571 0.000000 0.250000 0.000000 
0.428571 0.000000 0.250000 0.250000 
0.428571 0.000000 0.250000 0.500000 
0.428571 0.000000 0.250000 0.750000 
0.428571 0.000000 0.250000 1.000000 
0.428571 0.000000 0.500000 0.000000 
0.428571 0.000000 0.500000 0.250000 
0.428571 0.000000 0.500000 0.500000 
0.428571 0.000000 0.500000 0.750000 
0.428571 0.000000 0.500000 1.000000 
0.428571 0.000000 0.750000 0.000000 
0.428571 0.000000 0.750000 0.250000 
0.428571 0.000000 0.750000 0.500000 
0.428571 0.000000 0.750000 0.750000 
0.428571 0.000000 0.750000 1.000000 
0.428571 0.000000 1.000000 0.000000 
0.428571 0.000000 1.000000 0.250000 
0.428571 0.000000 1.000000 0.500000 
0.428571 0.000000 1.000000 0.750000 
0.428571 0.000000 1.000000 1.000000 
0.428571 0.333333 0.000000 0.000000 
0.428571 0.333333 0.000000 0.250000 
0.428571 0.333333 0.000000 0.500000 
0.428571 0.333333 0.000000 0.750000 
0.428571 0.333333 0.000000 1.000000 
0.428571 0.333333 0.250000 0.000000 
0.428571 0.333333 0.250000 0.250000 
0.428571 0.333333 0.250000 0.500000 
0.428571 0.333333 0.250000 0.750000 
0.428571 0.333333 0.250000 1.000000 
0.428571 0.333333 0.500000 0.000000 
0.428571 0.333333 0.500000 0.250000 
0.428571 0.333333 0.500000 0.500000 
0.428571 0.333333 0.500000 0.750000 
0.428571 0.333333 0.500000 1.000000 
0.428571 0.333333 0.750000 0.000000 
0.428571 0.333333 0.750000 0.250000 
0.428571 0.333333 0.750000 0.500000 
0.428571 0.333333 0.750000 0.750000 
0.428571 0.333333 0.750000 1.000000 
0.428571 0.333333 1.000000 0.000000 
0.428571 0.333333 1.000000 0.250000 
0.428571 0.333333 1.000000 0.500000 
0.428571 0.333333 1.000000 0.750000 
0.428571 0.333333 1.000000 1.000000 
0.428571 0.666667 0.000000 0.000000 
0.428571 0.666667 0.000000 0.250000 
0.428571 0.666667 0.000000 0.500000 
0.428571 0.666667 0.000000 0.750000 
0.428571 0.666667 0.000000 1.000000 
0.428571 0.666667 0.250000 0.000000 
0.428571 0.666667 0.250000 0.250000 
0.428571 0.666667 0.250000 0.500000 
0.428571 0.666667 0.250000 0.750000 
0.428571 0.666667 0.250000 1.000000 
0.428571 0.666667 0.500000 0.000000 
0.428571 0.666667 0.500000 0.250000 
0.428571 0.666667 0.500000 0.500000 
0.428571 0.666667 0.500000 0.750000 
0.428571 0.666667 0.500000 1.000000 
0.428571 0.666667 0.750000 0.000000 
0.428571 0.666667 0.750000 0.250000 
0.428571 0.666667 0.750000 0.500000 
0.428571 0.666667 0.750000 0.750000 
0.428571 0.666667 0.750000 1.000000 
0.428571 0.666667 1.000000 0.000000 
0.428571 0.666667 1.000000 0.250000 
0.428571 0.666667 1.000000 0.500000 
0.428571 0.666667 1.000000 0.750000 
0.428571 0.666667 1.000000 1.000000 
0.428571 1.000000 0.000000 0.000000 
0.428571 1.000000 0.000000 0.250000 
0.428571 1.000000 0.000000 0.500000 
0.428571 1.000000 0.000000 0.750000 
0.428571 1.000000 0.000000 1.000000 
0.428571 1.000000 0.250000 0.000000 
0.428571 1.000000 0.250000 0.250000 
0.428571 1.000000 0.250000 0.500000 
0.428571 1.000000 0.250000 0.750000 
0.428571 1.000000 0.250000 1.000000 
0.428571 1.000000 0.500000 0.000000 
0.428571 1.000000 0.500000 0.250000 
0.428571 1.000000 0.500000 0.500000 
0.428571 1.000000 0.500000 0.750000 
0.428571 1.000000 0.500000 1.000000 
0.428571 1.000000 0.750000 0.000000 
0.428571 1.000000 0.750000 0.250000 
0.428571 1.000000 0.750000 0.500000 
0.428571 1.000000 0.750000 0.750000 
0.428571 1.000000 0.750000 1.000000 
0.428571 1.000000 1.000000 0.000000 
0.428571 1.000000 1.000000 0.250000 
0.428571 1.000000 1.000000 0.500000 
0.428571 1.000000 1.000000 0.750000 
0.428571 1.000000 1.000000 1.000000 
1.000000 0.000000 0.000000 0.000000 
1.000000 0.000000 0.000000 0.250000 
1.000000 0.000000 0.000000 0.500000 
1.000000 0.000000 0.000000 0.750000 
1.000000 0.000000 0.000000 1.000000 
1.000000 0.000000 0.250000 0.000000 
1.000000 0.000000 0.250000 0.250000 
1.000000 0.000000 0.250000 0.500000 
1.000000 0.000000 0.250000 0.750000 
1.000000 0.000000 0.250000 1.000000 
1.000000 0.000000 0.500000 0.000000 
1.000000 0.000000 0.500000 0.250000 
1.000000 0.000000 0.500000 0.500000 
1.000000 0.000000 0.500000 0.750000 
1.000000 0.000000 0.500000 1.000000 
1.000000 0.000000 0.750000 0.000000 
1.000000 0.000000 0.750000 0.250000 
1.000000 0.000000 0.750000 0.500000 
1.000000 0.000000 0.750000 0.750000 
1.000000 0.000000 0.750000 1.000000 
1.000000 0.000000 1.000000 0.000000 
1.000000 0.000000 1.000000 0.250000 
1.000000 0.000000 1.000000 0.500000 
1.000000 0.000000 1.000000 0.750000 
1.000000 0.000000 1.000000 1.000000 
1.000000 0.333333 0.000000 0.000000 
1.000000 0.333333 0.000000 0.250000 
1.000000 0.333333 0.000000 0.500000 
1.000000 0.333333 0.000000 0.750000 
1.000000 0.333333 0.000000 1.000000 
1.000000 0.333333 0.250000 0.000000 
1.000000 0.333333 0.250000 0.250000 
1.000000 0.333333 0.250000 0.500000 
1.000000 0.333333 0.250000 0.750000 
1.000000 0.333333 0.250000 1.000000 
1.000000 0.333333 0.500000 0.000000 
1.000000 0.333333 0.500000 0.250000 
1.000000 0.333333 0.500000 0.500000 
1.000000 0.333333 0.500000 0.750000 
1.000000 0.333333 0.500000 1.000000 
1.000000 0.333333 0.750000 0.000000 
1.000000 0.333333 0.750000 0.250000 
1.000000 0.333333 0.750000 0.500000 
1.000000 0.333333 0.750000 0.750000 
1.000000 0.333333 0.750000 1.000000 
1.000000 0.333333 1.000000 0.000000 
1.000000 0.333333 1.000000 0.250000 
1.000000 0.333333 1.000000 0.500000 
1.000000 0.333333 1.000000 0.750000 
1.000000 0.333333 1.000000 1.000000 
1.000000 0.666667 0.000000 0.000000 
1.000000 0.666667 0.000000 0.250000 
1.000000 0.666667 0.000000 0.500000 
1.000000 0.666667 0.000000 0.750000 
1.000000 0.666667 0.000000 1.000000 
1.000000 0.666667 0.250000 0.000000 
1.000000 0.666667 0.250000 0.250000 
1.000000 0.666667 0.250000 0.500000 
1.000000 0.666667 0.250000 0.750000 
1.000000 0.666667 0.250000 1.000000 
1.000000 0.666667 0.500000 0.000000 
1.000000 0.666667 0.500000 0.250000 
1.000000 0.666667 0.500000 0.500000 
1.000000 0.666667 0.500000 0.750000 
1.000000 0.666667 0.500000 1.000000 
1.000000 0.666667 0.750000 0.000000 
1.000000 0.666667 0.750000 0.250000 
1.000000 0.666667 0.750000 0.500000 
1.000000 0.666667 0.750000 0.750000 
1.000000 0.666667 0.750000 1.000000 
1.000000 0.666667 1.000000 0.000000 
1.000000 0.666667 1.000000 0.250000 
1.000000 0.666667 1.000000 0.500000 
1.000000 0.666667 1.000000 0.750000 
1.000000 0.666667 1.000000 1.000000 
1.000000 1.000000 0.000000 0.000000 
1.000000 1.000000 0.000000 0.250000 
1.000000 1.000000 0.000000 0.500000 
1.000000 1.000000 0.000000 0.750000 
1.000000 1.000000 0.000000 1.000000 
1.000000 1.000000 0.250000 0.000000 
1.000000 1.000000 0.250000 0.250000 
1.000000 1.000000 0.250000 0.500000 
1.000000 1.000000 0.250000 0.750000 
1.000000 1.000000 0.250000 1.000000 
1.000000 1.000000 0.500000 0.000000 
1.000000 1.000000 0.500000 0.250000 
1.000000 1.000000 0.500000 0.500000 
1.000000 1.000000 0.500000 0.750000 
1.000000 1.000000 0.500000 1.000000 
1.000000 1.000000 0.750000 0.000000 
1.000000 1.000000 0.750000 0.250000 
1.000000 1.000000 0.750000 0.500000 
1.000000 1.000000 0.750000 0.750000 
1.000000 1.000000 0.750000 1.000000 
1.000000 1.000000 1.000000 0.000000 
1.000000 1.000000 1.000000 0.250000 
1.000000 1.000000 1.000000 0.500000 
1.000000 1.000000 1.000000 0.750000 
1.000000 1.000000 1.000000 1.000000 
